annee;numero_de_l_etablissement;etablissement;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_etab;cle_disc
2011;0350936C;Rennes 1;A14;Rennes;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;67;90;10;94;100;95;100;1950;30400;24;8.5;1650;100;24;10;;;Rennes 1_30;disc16_30
2011;0350937D;Rennes 2 - Haute Bretagne;A14;Rennes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;104;80;20;86;67;63;77;1400;21800;49;8.5;1650;34;66;73;;;Rennes 2 - Haute Bretagne_30;disc06_30
2011;0350937D;Rennes 2 - Haute Bretagne;A14;Rennes;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;18;74;4;ns;ns;ns;ns;ns;ns;49;8.5;1650;ns;ns;;;;Rennes 2 - Haute Bretagne_30;disc08_30
2011;0350937D;Rennes 2 - Haute Bretagne;A14;Rennes;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;81;80;15;85;88;52;96;1700;26500;49;8.5;1650;56;56;65;;;Rennes 2 - Haute Bretagne_30;disc11_30
2011;0350937D;Rennes 2 - Haute Bretagne;A14;Rennes;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;26;80;5;ns;ns;ns;ns;ns;ns;49;8.5;1650;ns;ns;;;;Rennes 2 - Haute Bretagne_30;disc12_30
2011;0350937D;Rennes 2 - Haute Bretagne;A14;Rennes;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;118;79;23;98;95;84;91;1750;27300;49;8.5;1650;63;63;73;;;Rennes 2 - Haute Bretagne_30;disc18_30
2011;0350937D;Rennes 2 - Haute Bretagne;A14;Rennes;MEEF;Masters enseignement;disc19;Masters enseignement : premier degré;30 mois après le diplôme;;13;72;3;ns;ns;ns;ns;ns;ns;49;8.5;1650;ns;ns;;;;Rennes 2 - Haute Bretagne_30;disc19_30
2011;0761904G;Rouen;A21;Rouen;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;63;72;13;89;76;50;86;1600;25000;29;10.9;1770;44;36;80;;;Rouen_30;disc07_30
2011;0761904G;Rouen;A21;Rouen;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;23;68;5;ns;ns;ns;ns;ns;ns;29;10.9;1770;ns;ns;;;;Rouen_30;disc11_30
2011;0761904G;Rouen;A21;Rouen;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;26;82;5;ns;ns;ns;ns;ns;ns;29;10.9;1770;ns;ns;;;;Rouen_30;disc15_30
2011;0761904G;Rouen;A21;Rouen;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;10;76;2;ns;ns;ns;ns;ns;ns;29;10.9;1770;ns;ns;;;;Rouen_30;disc17_30
2011;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;18;69;6;ns;ns;ns;ns;ns;ns;31;8.5;1730;ns;ns;;;;Saint-Etienne - Jean Monnet_30;disc08_30
2011;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;49;71;14;75;92;78;97;1950;30400;31;8.5;1730;76;49;50;;;Saint-Etienne - Jean Monnet_30;disc12_30
2011;0673021V;Strasbourg;A15;Strasbourg;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;92;77;8;88;86;75;95;2000;31100;25;8.9;1760;74;68;71;;;Strasbourg_30;disc02_30
2011;0673021V;Strasbourg;A15;Strasbourg;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;187;79;18;97;90;90;97;2180;34100;25;8.9;1760;71;51;61;;;Strasbourg_30;disc04_30
2011;0673021V;Strasbourg;A15;Strasbourg;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;165;84;15;87;87;54;74;1610;25100;25;8.9;1760;72;51;74;;;Strasbourg_30;disc07_30
2011;0673021V;Strasbourg;A15;Strasbourg;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;44;85;4;79;78;54;88;ns;ns;25;8.9;1760;56;51;76;;;Strasbourg_30;disc11_30
2011;0673021V;Strasbourg;A15;Strasbourg;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;51;83;5;96;100;84;98;2150;33600;25;8.9;1760;79;42;31;;;Strasbourg_30;disc15_30
2011;0830766G;Toulon - Sud Toulon Var;A23;Nice;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;43;68;22;77;85;76;91;ns;ns;35;11.2;1730;27;33;77;;;Toulon - Sud Toulon Var_30;disc02_30
2011;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;35;67;7;83;ns;ns;ns;ns;ns;40;9.9;1720;ns;ns;80;;;Toulouse - Jean Jaures_30;disc01_30
2011;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;29;64;6;ns;ns;ns;ns;ns;ns;40;9.9;1720;ns;ns;;;;Toulouse - Jean Jaures_30;disc04_30
2011;0311384L;Toulouse 3 - Paul Sabatier;A16;Toulouse;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;35;74;6;89;97;87;97;ns;ns;36;9.9;1720;77;ns;60;;;Toulouse 3 - Paul Sabatier_30;disc01_30
2011;0311384L;Toulouse 3 - Paul Sabatier;A16;Toulouse;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;153;79;24;93;99;92;98;2040;31800;36;9.9;1720;93;26;12;;;Toulouse 3 - Paul Sabatier_30;disc15_30
2011;0311384L;Toulouse 3 - Paul Sabatier;A16;Toulouse;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;54;60;9;96;87;87;90;1780;27800;36;9.9;1720;77;65;43;;;Toulouse 3 - Paul Sabatier_30;disc17_30
2011;0370800U;Tours - François Rabelais;A18;Orléans-Tours;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;22;59;6;ns;ns;ns;ns;ns;ns;33;9.2;1760;ns;ns;;;;Tours - François Rabelais_30;disc02_30
2011;0370800U;Tours - François Rabelais;A18;Orléans-Tours;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;109;68;26;91;96;61;93;1730;27000;33;9.2;1760;75;66;51;;;Tours - François Rabelais_30;disc12_30
2011;0370800U;Tours - François Rabelais;A18;Orléans-Tours;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;36;71;9;87;100;41;90;ns;ns;33;9.2;1760;75;84;69;;;Tours - François Rabelais_30;disc13_30
2011;0370800U;Tours - François Rabelais;A18;Orléans-Tours;MEEF;Masters enseignement;disc19;Masters enseignement : premier degré;30 mois après le diplôme;;38;69;9;97;76;65;81;ns;ns;33;9.2;1760;70;30;;;;Tours - François Rabelais_30;disc19_30
2011;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;116;70;35;90;95;89;97;2050;32000;36;12.8;1750;74;46;56;;;Valenciennes - Hainaut-Cambrésis_30;disc01_30
2011;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;28;69;8;ns;ns;ns;ns;ns;ns;36;12.8;1750;ns;ns;;;;Valenciennes - Hainaut-Cambrésis_30;disc02_30
2011;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;30;90;7;90;ns;ns;ns;ns;ns;36;12.8;1750;ns;ns;17;;;Valenciennes - Hainaut-Cambrésis_30;disc07_30
2011;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;25;66;8;ns;ns;ns;ns;ns;ns;36;12.8;1750;ns;ns;;;;Valenciennes - Hainaut-Cambrésis_30;disc16_30
2011;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;34;65;11;98;89;86;100;ns;ns;36;12.8;1750;57;7;46;;;Valenciennes - Hainaut-Cambrésis_30;disc18_30
2011;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;239;63;58;89;92;71;95;2010;31400;12;8.6;1990;73;19;65;;;Versailles Saint-Quentin-en-Yvelines_30;disc01_30
2011;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;31;64;7;97;93;70;ns;ns;ns;12;8.6;1990;90;ns;71;;;Versailles Saint-Quentin-en-Yvelines_30;disc02_30
2011;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;82;64;19;80;95;68;89;1960;30600;12;8.6;1990;69;32;47;;;Versailles Saint-Quentin-en-Yvelines_30;disc03_30
2011;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;92;59;24;97;88;74;98;2030;31700;12;8.6;1990;67;16;78;;;Versailles Saint-Quentin-en-Yvelines_30;disc04_30
2011;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;MEEF;Masters enseignement;disc19;Masters enseignement : premier degré;30 mois après le diplôme;;11;88;2;ns;ns;ns;ns;ns;ns;12;8.6;1990;ns;ns;;;;Versailles Saint-Quentin-en-Yvelines_30;disc19_30
2010;UNIV;Toutes universités et établissements assimilés;;;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;11122;66;42;92;86;81;97;2000;31200;28;fe;1800;nd;nd;;;;Toutes universités et établissements assimilés_30;disc01_30
2010;UNIV;Toutes universités et établissements assimilés;;;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;2560;65;10;92;86;76;96;1920;29900;28;fe;1800;nd;nd;;;;Toutes universités et établissements assimilés_30;disc02_30
2010;UNIV;Toutes universités et établissements assimilés;;;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;1381;63;6;90;84;73;96;1920;29900;28;fe;1800;nd;nd;;;;Toutes universités et établissements assimilés_30;disc05_30
